date,a,b,z
2025-06-27,3921.758,5863.728,-0.8954822446904989
2025-06-30,3936.079,5915.388,-1.481910453655802
2025-07-01,3942.762,5934.67,-1.7169041948694586
2025-07-02,3943.685,5892.951,-0.9660664181632548
2025-07-03,3968.068,5922.66,-0.9021256012561351
2025-07-04,3982.203,5911.435,-0.18262895062011877
2025-07-07,3965.175,5900.406,-0.4703735104687586
2025-07-08,3998.453,5977.744,-1.0618126350715857
2025-07-09,3991.401,5953.487,-0.7399094190213167
2025-07-10,4010.024,5983.05,-0.771121588453453
2025-07-11,4014.807,6027.079,-1.5648992708469287
2025-07-14,4017.668,6020.858,-1.3060115099900576
2025-07-15,4019.064,6018.758,-1.1745878350955923
2025-07-16,4007.202,6017.195,-1.4655387495130316
2025-07-17,4034.491,6082.464,-1.8824721130988622
2025-07-18,4058.549,6099.61,-1.4510361172793254
2025-07-21,4085.607,6161.309,-1.7895260672652231
2025-07-22,4118.958,6213.407,-1.7495045062180161
2025-07-23,4119.769,6196.758,-1.3646163859424763
2025-07-24,4149.037,6293.599,-2.1922827425557365
2025-07-25,4127.163,6299.591,-2.648788756158045
2025-07-28,4135.824,6323.42,-2.6049974557320192
2025-07-29,4152.025,6356.133,-2.535637714244235
2025-07-30,4151.238,6314.688,-1.900781122991903
2025-07-31,4075.591,6226.343,-2.1737778672729875
2025-08-01,4054.929,6213.201,-2.2915351794722776
2025-08-04,4070.702,6261.731,-2.432240746927467
2025-08-05,4103.45,6303.236,-2.1864799603358462
2025-08-06,4113.485,6357.377,-2.4567563486968487
2025-08-07,4114.666,6337.542,-2.0975136540128583
2025-08-08,4104.967,6323.5,-2.011917840515515
2025-08-11,4122.511,6391.759,-2.303461021773737
2025-08-12,4143.825,6418.16,-2.1132698632870577
2025-08-13,4176.578,6508.098,-2.3380089476444814
2025-08-14,4173.313,6429.846,-1.5905439330317293
2025-08-15,4202.353,6568.57,-2.3305074268925807
2025-08-18,4239.413,6668.172,-2.544947523201757
2025-08-19,4223.374,6655.311,-2.482034169316223
2025-08-20,4271.396,6728.069,-2.3140349882455014
2025-08-21,4288.071,6704.166,-1.8404852409582557
2025-08-22,4377.998,6822.847,-1.605893086908505
2025-08-25,4469.222,6951.896,-1.454834848297969
2025-08-26,4452.591,6964.065,-1.6628990785301587
2025-08-27,4386.127,6862.563,-1.612841093541948
2025-08-28,4463.782,7011.16,-1.7250174664802052
2025-08-29,4496.759,7043.941,-1.5320292754914155
2025-09-01,4523.711,7110.288,-1.623418454268718
2025-09-02,4490.453,6961.689,-0.9472004230318375
2025-09-03,4459.83,6868.461,-0.612333540974824
2025-09-04,4365.209,6698.447,-0.421434524079136
2025-09-05,4460.325,6913.953,-0.8705533265123073
2025-09-08,4467.573,6992.117,-1.282384710437119
2025-09-09,4436.258,6928.965,-1.147162342394912
2025-09-10,4445.365,6932.109,-1.0376757519929625
2025-09-11,4548.035,7122.705,-1.2056426236838453
2025-09-12,4521.998,7147.749,-1.608522629399962
2025-09-15,4533.056,7137.363,-1.3846401049895818
2025-09-16,4523.337,7190.993,-1.7980467181860587
2025-09-17,4551.023,7260.035,-1.8956633089460497
2025-09-18,4498.109,7199.883,-1.9838604403752942
2025-09-19,4501.92,7170.349,-1.6756570383797451
2025-09-22,4522.608,7225.128,-1.7446160605074335
2025-09-23,4519.778,7180.714,-1.42773512266209
2025-09-24,4566.071,7323.709,-1.8029499890018699
2025-09-25,4593.488,7341.324,-1.5813373860203008
2025-09-26,4550.049,7240.912,-1.3480509868066728
2025-09-29,4620.053,7350.56,-1.3031922977384902
2025-09-30,4640.694,7412.368,-1.4480288461690654
2025-10-09,4709.482,7548.922,-1.5752907196340842
2025-10-10,4616.834,7398.224,-1.5217792522012215
2025-10-13,4593.979,7376.563,-1.5727363732030453
2025-10-14,4539.064,7194.851,-0.906548427311911
2025-10-15,4606.288,7294.001,-0.8315004987130333
2025-10-16,4618.422,7231.534,-0.21506617330034447
2025-10-17,4514.235,7016.066,0.22022033944626282
2025-10-20,4538.22,7069.641,0.13004058780456232
2025-10-21,4607.872,7185.624,0.10582697646408569
2025-10-22,4592.57,7128.478,0.4296162681645732
2025-10-23,4606.345,7142.954,0.5476345964751277
2025-10-24,4660.684,7258.534,0.3038667969465783
2025-10-27,4716.019,7379.394,0.01327477286640338
2025-10-28,4691.973,7341.03,0.0480033499617473
2025-10-29,4747.838,7480.967,-0.4270274738917049
2025-10-30,4709.911,7385.711,-0.04443462641242076
2025-10-31,4640.668,7331.003,-0.5763092889537755
2025-11-03,4653.403,7333.601,-0.3640448050779221
2025-11-04,4618.699,7210.825,0.4157375992108547
2025-11-05,4627.257,7229.341,0.3904034684841498
2025-11-06,4693.403,7345.723,0.2629282329707463
2025-11-07,4678.794,7327.911,0.2332674984223429
2025-11-10,4695.051,7343.802,0.37730655348724335
2025-11-11,4652.166,7291.608,0.21402751446505094
2025-11-12,4645.908,7243.249,0.7085120743010052
2025-11-13,4702.074,7355.291,0.4128954440183052
2025-11-14,4628.14,7235.462,0.5007856667888928
2025-11-17,4598.053,7235.351,-0.0982579350696425
2025-11-18,4568.193,7151.018,0.3826250011737508
2025-11-19,4588.292,7122.747,1.129906417929686
2025-11-20,4564.948,7061.95,1.4002981093968982
2025-11-21,4453.608,6817.41,2.231622766003704
2025-11-24,4448.048,6868.966,1.4308693635581582
2025-11-25,4490.405,6954.604,1.1665224222448694
2025-11-26,4517.626,6965.045,1.5059576271949826
2025-11-27,4515.403,6951.284,1.5742845386479882
2025-11-28,4526.662,7031.55,0.8153675477281882
2025-12-01,4576.486,7101.833,0.8786107720515414
2025-12-02,4554.335,7040.301,1.1554583887769485
2025-12-03,4531.049,6996.355,1.2339231755279232
2025-12-04,4546.566,7012.806,1.3251829536654591
2025-12-05,4584.537,7097.839,1.0558821450972304
2025-12-08,4621.755,7172.367,0.8665419038481278
2025-12-09,4598.223,7121.326,1.0096308564548668
2025-12-10,4591.827,7155.995,0.5009219532270379
2025-12-11,4552.185,7082.893,0.6258570035441157
2025-12-12,4580.95,7169.791,0.14987649101742595
